k,tau_100,tau_200,tau_300,tau_400,tau_500,tau_600,tau_700,tau_800,tau_900,tau_1000,tau_1100,tau_1200,tau_1300,tau_1400,tau_1500,tau_1600,tau_1700,tau_1800,tau_1900,tau_2000,tau_2100,tau_2200,tau_2300,tau_2400,tau_2500,tau_2600,tau_2700,tau_2800,tau_2900,tau_3000,tau_3100,tau_3200,tau_3300,tau_3400,tau_3500,tau_3600,tau_3700,tau_3800,tau_3900,tau_4000,tau_4100,tau_4200,tau_4300,tau_4400,tau_4500,tau_4600,tau_4700,tau_4800,tau_4900,tau_5000
11.0,0.08758809358520445,0.0027357799391058185,0.002823162882978564,0.0021069357550558576,0.0031476614274642445,0.0029749548042167476,0.003579307286908278,0.0021738480472944756,0.0031710078556868317,0.003045136554443914,0.002042541850911112,0.0026981951314328898,0.0033664692013154734,0.0027614376200034135,0.002493884336399245,0.003016018432745985,0.002731977561607696,24.58989022253128,818.2152558789425,6879.490869408943,5424.595767474129,3796.410826560805,5433.225116736531,9422.507576331609,7745.645710511744,3195.842271263215,5372.052446823449,23.413531554818732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0796667860250211,0.0016726002526082722,0.000916799215401918,0.0015546251079892415,0.001298284614441013,0.0011541406725591363,0.0010689604685948058,0.0009954077964670935,0.0012361297218397211,0.0009320992239511772,0.0008966901450752666,0.0013953890002943187,0.0009493568466550619,0.0011160780019672805,0.0010097338671560421,0.001111986303567748,0.0012304791500800712,9.68134284455441,2589.688951873491,965.6245632575243,3759.111774134866,7358.55813797872,4129.598251182699,4257.484414463011,6152.941010000686,3206.5477771470046,1177.1753692119457,204.57024244417616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.04468180135889975,0.0004382934926758704,0.0005051197388619125,0.0004178634085792039,0.00034334342657522097,0.0004203260103504819,0.0003432483316274659,0.00040622707716440735,0.00041213618229848703,0.0006277780592918731,0.00040922356799257784,0.00039863179965777103,0.0004274076128851919,0.0004272710349521551,0.00041532774805219837,0.0004489326131025284,0.00036952422987124604,3.8461684415054496,1552.3694442879162,2573.0440702166065,2516.5772696164527,2623.2172491874626,4863.040389281398,3950.492360869057,3653.940186167754,3358.48343712418,505.86901598070176,471.6612834626187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.042829575553362226,0.0002061062632429122,0.00012125479493784475,0.0001344981272276711,0.00013508762613497914,0.00014176210223667765,0.00016181986108701108,0.000132393018766068,0.00012593070112435804,0.0002243552862968158,8.094095304190858e-5,0.0001347598415261988,0.00013912128783715323,0.00012048612587985511,0.00010835601547409526,0.0001206439466000982,0.00016866193983140716,1.4749593862303625,177.53737130813263,1513.3036123081358,2343.1074572804414,1972.1369028150368,3229.7381762799137,2882.9159348116705,3226.1134945661693,644.8933409820404,1280.5561829976566,571.2327330275308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.027555222162364633,9.102308396242875e-5,4.723955001597165e-5,4.3239860969185516e-5,5.197840265689058e-5,5.0409239062152965e-5,5.774298018072908e-5,5.2396500550831006e-5,5.741828884787321e-5,5.31809300927601e-5,4.709019404579624e-5,4.2494344978325925e-5,5.031397891327169e-5,5.07383714716451e-5,4.2395164086891606e-5,4.841971577886869e-5,5.1934358899533005e-5,0.6072292344830474,538.4017767616642,598.1124178692286,1067.8157354273276,2803.1630411067563,913.0383675452249,3238.1313229887364,1606.6921202914632,1545.1311934778455,1009.8580154274244,481.4813492690072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.03603884572811367,5.1908650146084144e-5,1.683587008005677e-5,1.648848225999518e-5,1.3097441654015394e-5,1.552601249421659e-5,1.3384347955724518e-5,1.5851260805115657e-5,1.2866868274139136e-5,1.4447240457029866e-5,1.8095261616945432e-5,1.3518183910583675e-5,1.809534705352151e-5,1.4501208998466237e-5,1.5363185231200067e-5,1.2954385216881976e-5,1.1541099432910466e-5,0.2419415472310483,786.8671899939533,1356.543716366061,1309.3735580100129,974.1746326728501,1651.2172163443045,2044.5220468723257,1670.8416680039848,1118.8615194348229,474.8709385435071,307.24357893629997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.031307355547987505,2.945685864009506e-5,3.6413054635510214e-6,4.0577512163109725e-6,3.40945008489999e-6,3.673973799250083e-6,3.602516222671744e-6,3.0879231100941438e-6,3.0058303050562127e-6,2.9343441798843954e-6,3.029248616306323e-6,3.370746456266463e-6,4.0665480571320974e-6,2.810063382078621e-6,3.071612244192266e-6,3.2655963103433144e-6,3.619996636029448e-6,0.0905855302070222,260.6601671401117,247.68644284406878,498.4751094921784,1165.096959329433,1563.1959716516508,1652.2439451830555,1312.2523734345668,446.87223087735487,156.09951177266666,117.50811795497319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.02799208826511452,2.3498159950503954e-5,7.295507767244402e-7,8.097509974527351e-7,9.07780124969036e-7,8.11939503320671e-7,7.84467765598385e-7,6.969322786888776e-7,6.916121314898494e-7,6.146514427515664e-7,7.139750408088574e-7,9.303022089672862e-7,6.715323987706223e-7,6.100708599386515e-7,5.89521376735235e-7,5.013574505785247e-7,7.133625006942524e-7,0.035424839474221766,101.93828357317794,781.8482503208444,963.1984975986252,1126.4141477459893,935.9614661799353,1089.6045757399208,1005.9242250721342,993.5307267774998,536.4202921163094,22.051120876184303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.025353101928130048,2.021440874910049e-5,1.287622747359399e-7,1.3383491383031403e-7,1.445156069064628e-7,1.779261088375055e-7,1.1222302228352968e-7,1.280647294770686e-7,1.1399039560713357e-7,1.2352420650784233e-7,1.0266528945719269e-7,1.1593005511328428e-7,1.2088019219835525e-7,1.5404794693561657e-7,1.0908908337091999e-7,1.7859994550445728e-7,1.3692300760858575e-7,0.014684797290508325,321.5265289758383,348.3744798211414,236.37227567322233,391.98941948066107,458.64890729970926,642.8199812024465,627.7732859653274,211.6176420561889,374.1331217311441,6.8653348769094285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.03653519594357879,2.8009391735206887e-5,3.751437908480821e-8,2.5881530172739018e-8,2.5809523586056406e-8,3.175153233478546e-8,3.159173103731964e-8,2.731768538543891e-8,2.6342983408106513e-8,2.4849644358659584e-8,2.2341401656639525e-8,2.2134275777888807e-8,2.0385909649463755e-8,2.580710903871239e-8,2.0890901979560447e-8,2.6093266023461267e-8,1.801637194012634e-8,0.0062612382473965405,265.23740470854347,265.7020961489358,622.0066710930422,834.032176293404,749.0998120526098,746.9546726581273,596.0230663277669,288.94567364130165,119.4860128339468,36.81686476107091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
