Step,Phi_Angle,K_Strength
111,-0.1004096009476265,0.37696752657443555
112,-0.19120246380984948,0.38312242394855894
113,-0.2813008011532323,0.38851050724098557
114,-0.3707865675068065,0.39316983666331445
115,-0.45972941216490937,0.39714064523830195
116,-0.5481869644217265,0.40046413065230635
117,-0.6362052636835702,0.4031820312518641
118,-0.723819313045907,0.40533682968766677
119,-0.8110537399265583,0.4069724731853927
120,-0.8979235504642149,0.4081355222203751
121,-0.9844349659746069,0.40887664271350294
122,-1.0705863301263558,0.40925234287190587
123,-1.1563690749539342,0.4093268264577493
124,-1.2417687326525024,0.40917379244144725
125,-1.3267659785801873,0.40887796140404437
126,-1.4113376893095448,0.40853605906756535
127,-1.4954579982097964,0.4082569470730434
128,-1.5790993302109368,0.40816057175634424
129,-1.6622333974652939,0.408375408925836
130,-1.7448321391506807,0.4090340960391152
131,-1.8268685929608528,0.41026683991651997
132,-1.908317697181406,0.4121913837592462
133,-1.989157058971262,0.4148936485679193
134,-2.069367872154581,0.4183734578108081
135,-2.1489364928763304,0.4224707084765511
136,-2.2278563138984757,0.426956905984282
137,-2.3061280285139194,0.43164106402770686
138,-2.3837584555515607,0.4363773414276085
139,-2.460759082829374,0.4410570889799391
140,-2.5371447363823334,0.44560127738278815
141,-2.6129324485784062,0.4499540794654439
142,-2.6881405225261026,0.45407766457198073
143,-2.762787772821971,0.4579480896301721
144,-2.8368929196527977,0.46155211496672593
145,-2.910474114344875,0.4648847706776614
146,-2.983548576714977,0.4679475184082346
147,-3.05613232705091,0.47074687831602385
148,-3.1282399978873183,0.47329341515330986
149,3.0833005943524165,0.47560099833509367
150,3.012107285714632,0.4776862679824361
151,2.9413554261743293,0.4795682524933951
152,2.871036630713126,0.4812680937492754
153,2.801144034734272,0.48280884423622966
154,2.7316722168536636,0.4842153067421889
155,2.6626171016031215,0.4855138923931643
156,2.5939758467629854,0.48673247704991396
